"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
19,0,0.00483486056731708,0.0225576808449435,0,2.49256137555717,0,0,0,0,-0.301029995663981,-0.301029995663981,-0.301029995663981,0,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
20,0,0.00149137485333647,0.00486597501775643,0,0.780596402482907,0,0,0.475,0,-0.301029995663981,-0.15804074772359,-0.301029995663981,0,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
21,0.00101226412207961,0,0,0,0,1.06482781237676e-06,0,1.475,0,-0.301029995663981,0.142989247940391,-0.301029995663981,1.06482781237676e-06,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
22,0.00214526097220358,0,0,0,0,1.76457180336138e-06,0,3,0,-0.301029995663981,0.477121254719662,-0.301029995663981,2.82939961573814e-06,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
23,0.00246590655975404,0,0,0,0,2.41125680892902e-06,0,5,0,-0.301029995663981,0.698970004336019,-0.301029995663981,5.24065642466716e-06,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
24,0.00193733330826906,0,0,0,0,3.14586375326232e-06,0,7,0,-0.301029995663981,0.845098040014257,-0.301029995663981,8.38652017792949e-06,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
25,0.000747802290056054,0,0,0.0218605576918742,0,4.05172658966574e-06,0,8.475,0,-0.301029995663981,0.92738743515445,-0.301029995663981,1.24382467675952e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
26,0,0.000202324315363656,0.0105337634758245,0.0739939761048554,0.0910195234861959,5.19903594550847e-06,0,10,0,-0.301029995663981,1,-0.301029995663981,1.76372827131037e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
27,0,0.00254721193834831,0.0208922582927675,0.140491776700143,1.271283444566,6.66396863273993e-06,1,12,0,0,1.07918124604762,-0.301029995663981,2.43012513458436e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
28,0,0.00424572268578519,0.0247221947134406,0.218409086123549,2.11985949569192,8.53895211212097e-06,1,13,0,0,1.11394335230684,-0.301029995663981,3.28402034579646e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
29,0,0.00483727814814222,0.0204690865305854,0.303192940217224,2.39879821524283,1.09404601528098e-05,2,14,0,0.301029995663981,1.14612803567824,-0.301029995663981,4.37806636107744e-05,-0.301029995663981,-0.301029995663981,-0.301029995663981,-0.301029995663981
