"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
19,0.239380802158433,0.0100536547249521,2.15137740899184,4.55270281991861,2.89417348365657,0,2,4.52499999999999,0,0.301029995663981,0.652937748157191,-0.301029995663981,0,-0.301029995663981,0.301029995663981,0.652937748157191,0.301029995663981
20,0.468212207106912,0.00310124254324468,2.11351639587794,4.76986881897751,0.887302432140089,0,3,7.52499999999999,0,0.477121254719662,0.875543812177542,-0.301029995663981,0,-0.301029995663981,0.301029995663981,0.652937748157191,0.301029995663981
21,0.696108473455578,0,2.08369261139076,4.97766207405474,0,3.01580236086893e-06,4,10.525,0,0.602059991327962,1.02173115970807,-0.301029995663981,3.01580236086893e-06,-0.301029995663981,0.393477906668212,0.652937748157191,0.393477906668212
22,0.921825012607957,0,2.0706357026429,5.16682681972221,0,4.99761534082184e-06,5,13.525,0,0.698970004336019,1.13084031107682,-0.301029995663981,8.01341770169076e-06,-0.301029995663981,0.301029995663981,0.778151250383644,0.301029995663981
23,1.14410312989416,0,2.08014222512382,5.33316382383988,0,6.78813533607824e-06,5.52499999999999,16.525,0,0.740540158511021,1.21794267548516,-0.301029995663981,1.4801553037769e-05,-0.301029995663981,0.301029995663981,0.778151250383644,0.301029995663981
24,1.36213243027543,0,2.11180975900953,5.4814408841412,0,8.77375629222559e-06,7,19,0,0.845098040014257,1.27875360095283,-0.301029995663981,2.35753093299946e-05,-0.301029995663981,0.301029995663981,0.740540158511021,0.301029995663981
25,1.57598851446423,0,2.15801992807145,5.62587579392278,0,1.11774301507713e-05,8.52499999999999,23,0,0.929945061276818,1.36172783601759,-0.301029995663981,3.47527394807659e-05,-0.301029995663981,0.301029995663981,0.813298314939715,0.301029995663981
26,1.78696041181395,0.000419324365729834,2.20531005241569,5.78712974034523,0.190020416093532,1.41772524965513e-05,9.52499999999999,26.525,0,0.978265191983679,1.42357831646961,-0.301029995663981,4.89299919773172e-05,-0.301029995663981,0.477121254719662,0.740540158511021,0.477121254719662
27,1.99766197233102,0.00529443501853877,2.23769905454747,5.98669610297678,1.55863023708821,1.7957932930572e-05,9.52499999999999,29,0,0.978265191983679,1.46239799789896,-0.301029995663981,6.68879249078892e-05,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
28,2.21183372354812,0.00882584594842534,2.24102993764264,6.24032847209343,2.51159970954917,2.27373575790408e-05,10.05,31.525,0,0.999996351691747,1.49860054318923,-0.301029995663981,8.96252824869299e-05,-0.301029995663981,0.301029995663981,0.698970004336019,0.301029995663981
