doy,date,deaths,icu,cases_imported,cases_community,cases_dorms
19,2019-01-20,0,0,2,0,0
20,2020-01-20,0,0,1,1,0
21,2021-01-20,0,0,3,0,0
22,2022-01-20,0,0,0,0,0
23,2023-01-20,0,0,3,2,0
24,2024-01-20,0,0,4,0,0
25,2025-01-20,0,0,1,0,0
26,2026-01-20,0,0,1,0,0
27,2027-01-20,0,0,1,1,0
28,2028-01-20,0,0,3,2,0
29,2029-01-20,0,0,3,1,0
30,1930-01-20,0,0,3,6,0
31,1931-01-20,0,0,0,2,0
32,2001-02-20,0,0,0,3,1
33,2002-02-20,0,1,0,2,0
34,2003-02-20,0,1,0,5,0
35,2004-02-20,0,1,2,4,0
36,2005-02-20,0,1,0,1,0
37,2006-02-20,0,1,0,3,0
38,2007-02-20,0,2,1,3,0
39,2008-02-20,0,3,1,1,0
40,2009-02-20,0,4,1,6,0
41,2010-02-20,0,5,0,6,0
42,2011-02-20,0,6,0,3,0
43,2012-02-20,0,6,0,3,0
44,2013-02-20,0,5,0,0,0
45,2014-02-20,0,5,1,4,0
46,2015-02-20,0,4,0,0,0
47,2016-02-20,0,4,0,3,0
48,2017-02-20,0,3,0,2,0
49,2018-02-20,0,3,0,0,0
50,2019-02-20,0,3,0,0,0
51,2020-02-20,0,4,0,2,0
52,2021-02-20,0,5,0,3,0
53,2022-02-20,0,5,0,2,0
54,2023-02-20,0,6,0,3,0
55,2024-02-20,0,7,1,2,0
56,2025-02-20,0,7,0,5,0
57,2026-02-20,0,7,0,4,0
58,2027-02-20,0,8,1,5,0
59,2028-02-20,0,7,1,4,0
60,2029-02-20,0,7,1,5,0
61,2001-03-20,0,6,3,2,0
62,2002-03-20,0,7,1,6,0
63,2003-03-20,0,7,5,6,0
64,2004-03-20,0,8,3,3,0
65,2005-03-20,0,9,2,12,0
66,2006-03-20,0,10,3,1,0
67,2007-03-20,0,10,8,8,0
68,2008-03-20,0,12,10,6,0
69,2009-03-20,0,12,18,8,0
70,2010-03-20,0,12,13,5,0
71,2011-03-20,0,10,17,6,0
72,2012-03-20,0,12,13,8,0
73,2013-03-20,0,14,16,6,0
74,2014-03-20,0,14,26,9,0
75,2015-03-20,0,14,21,2,0
76,2016-03-20,0,13,50,11,1
77,2017-03-20,0,14,44,15,0
78,2018-03-20,0,15,32,17,0
79,2019-03-20,0,16,42,10,0
80,2020-03-20,0,17,32,30,2
81,2021-03-20,2,15,26,23,3
82,2022-03-20,0,15,21,18,3
83,2023-03-20,0,17,28,38,5
84,2024-03-20,0,19,22,34,5
85,2025-03-20,0,17,18,25,8
86,2026-03-20,0,15,16,34,11
87,2027-03-20,0,17,11,28,8
88,2028-03-20,0,18,12,28,6
89,2029-03-20,1,19,9,28,8
90,1930-03-20,0,19,5,55,23
91,1931-03-20,0,21,6,37,23
92,2001-04-20,0,23,3,52,31
93,2002-04-20,1,24,3,26,38
94,2003-04-20,1,25,1,33,45
95,2004-04-20,1,27,1,34,60
96,2005-04-20,0,27,0,20,47
97,2006-04-20,0,28,2,25,66
98,2007-04-20,0,30,0,20,57
99,2008-04-20,0,29,0,25,227
100,2009-04-20,1,31,3,45,239
101,2010-04-20,0,34,0,41,157
102,2011-04-20,1,32,0,27,164
103,2012-04-20,0,29,0,26,207
104,2013-04-20,1,29,0,38,348
105,2014-04-20,1,25,0,40,294
106,2015-04-20,0,24,0,37,410
107,2016-04-20,0,21,0,26,702
108,2017-04-20,0,21,1,26,596
109,2018-04-20,1,22,0,22,920
110,2019-04-20,0,24,0,30,566
111,2020-04-20,0,24,0,25,1401
112,2021-04-20,1,26,0,28,1083
113,2022-04-20,0,27,0,17,999
114,2023-04-20,0,27,0,25,1012
115,2024-04-20,0,25,0,25,872
116,2025-04-20,0,21,0,9,609
117,2026-04-20,0,21,2,1,912
118,2027-04-20,2,21,0,18,781
119,2028-04-20,0,21,0,10,518
120,2029-04-20,0,22,0,11,679
121,1930-04-20,1,21,0,9,519
122,2001-05-20,1,23,0,11,921
123,2002-05-20,1,24,0,6,441
124,2003-05-20,1,22,0,13,644
125,2004-05-20,0,25,0,5,568
126,2005-05-20,0,24,0,12,620
127,2006-05-20,2,23,0,13,775
128,2007-05-20,0,19,0,7,734
129,2008-05-20,0,22,0,11,757
130,2009-05-20,0,23,0,11,742
131,2010-05-20,0,22,1,4,871
132,2011-05-20,1,24,0,3,483
133,2012-05-20,0,20,0,4,880
134,2013-05-20,0,19,0,4,670
135,2014-05-20,0,20,0,2,750
136,2015-05-20,0,18,0,2,791
137,2016-05-20,1,16,0,8,457
138,2017-05-20,0,16,0,9,673
139,2018-05-20,0,12,0,2,303
140,2019-05-20,0,10,0,1,450
141,2020-05-20,0,11,0,8,562
