"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
19,0,0,1.89917383040532,0.281653460831847,22.2349733926694,0,0,0,0,-0.301029995663981,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
20,0,0,1.41021168391919,0.234722087156854,16.8316553878704,0,0,0,0,-0.301029995663981,-0.301029995663981,-0.301029995663981,0,-0.301029995663981
21,0,0,0.926840652066652,0.188633969126582,11.4839822577184,1.00752339738051e-05,0,1,0,-0.301029995663981,0,-0.301029995663981,1.00752339738051e-05,-0.301029995663981
22,0,0,0.457555007146944,0.144675646870534,6.27668453177165,1.66961020132134e-05,0,2,0,-0.301029995663981,0.301029995663981,-0.301029995663981,2.67713359870185e-05,-0.301029995663981
23,0,0,0.0133678460035824,0.104525093970842,1.31997317378659,2.23960750324871e-05,0,4,0,-0.301029995663981,0.602059991327962,-0.301029995663981,4.91674110195055e-05,-0.301029995663981
24,0.0322721271468409,0,0,0.0700814493379918,0,2.8377450987622e-05,0,6,0,-0.301029995663981,0.778151250383644,-0.301029995663981,7.75448620071276e-05,-0.301029995663981
25,0.0632550847791475,0,0,0.0433035179673614,0,3.53069996140392e-05,0,7,0,-0.301029995663981,0.845098040014257,-0.301029995663981,0.000112851861621167,-0.301029995663981
26,0.0889479412892782,0.000191749757320926,0,0.0260598301410754,0,4.3660564935674e-05,0,9,0,-0.301029995663981,0.954242509439325,-0.301029995663981,0.000156512426556841,-0.301029995663981
27,0.108481697628986,0.00114597995049567,0,0.0199932268287779,0,5.38778088252588e-05,0,12,0,-0.301029995663981,1.07918124604762,-0.301029995663981,0.0002103902353821,-0.301029995663981
28,0.121193924489763,0.00224273194427095,0,0.0264029215868732,0,6.64383338609013e-05,0,15,0,-0.301029995663981,1.17609125905568,-0.301029995663981,0.000276828569243001,-0.301029995663981
29,0.126679495861907,0.00349219232376589,0,0.04614679216301,0,8.19068619726478e-05,1,16,0,0,1.20411998265592,-0.301029995663981,0.000358735431215649,-0.301029995663981
30,0.124826184375173,0.00489913453348622,0,0.0795662970020709,0,0.000100968271498102,1,18,0,0,1.25527250510331,-0.301029995663981,0.000459703702713751,-0.301029995663981
31,0.115834169762638,0.00646259928711007,0,0.126435915476251,0,0.000124462019377618,1,20,0,0,1.30102999566398,-0.301029995663981,0.000584165722091368,-0.301029995663981
32,0.100219049815561,0.00817590909556572,0,0.185938400009731,0,0.000153420850909514,1,22.975,0,0,1.36124520713771,-0.301029995663981,0.000737586573000882,-0.301029995663981
33,0.0787985294130196,0.0100270056186284,0,0.256666430567197,0,0.000189116936323294,1,25,0,0,1.39794000867204,-0.301029995663981,0.000926703509324176,-0.301029995663981
34,0.0526635688674735,0.0119990843526719,0,0.33665050537751,0,0.000233118071234204,1,31,0,0,1.49136169383427,-0.301029995663981,0.00115982158055838,-0.301029995663981
35,0.0231353695697796,0.01407148784617,0,0.423412115964735,0,0.000287356668388759,1.975,33,0,0.293504245772382,1.51851393987789,-0.301029995663981,0.00144717824894714,-0.301029995663981
36,0,0.0162208069123009,0.156226852182229,0.514040469115847,0,0.000354214680595167,2,36,0,0.301029995663981,1.55630250076729,-0.301029995663981,0.00180139292954231,-0.301029995663981
